class,sms,stemmed_sms,len
ham,S:-)if we have one good partnership going we will take lead:),one good partnership go take lead,61
spam,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,rgent attempt contact call callcost mobilesvari,148
ham,"Yeah, where's your class at?",yeah class,28
ham,No just send to you. Bec you in temple na.,send bec templ na,42
ham,"You aren't coming home between class, right? I need to work out and shower!",come home class right need work shower,75
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,hi ur lookin sauci daytim fun wiv busti marri woman free next week chat sort time janinexx,160
ham,S but mostly not like that.,mostli like,27
ham,ÌÏ v ma fan...,ìï fan,14
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,dunno co late reach insid alreadi ate spageddi lor gal laugh lor,129
ham,Guess who spent all last night phasing in and out of the fourth dimension,guess spent last night phase fourth dimens,73
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,dad gon na call get work ask crazi question,88
ham,"Yes..but they said its IT.,",said,27
ham,"Very hurting n meaningful lines ever: \I compromised everything for my love But at d end my love compromised me for everything:-(\"".. Gud mornin:-)""",hurt meaning line ever compromis everyth love end love compromis everyth gud mornin,148
ham,Lmao!nice 1,lmao nice,11
ham,Glad to see your reply.,glad see repli,23
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,urgent tri contact today draw show prize guarante call land line claim valid,158
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,monthli password wap use wap phone pc,73
ham,Nah dub but je still buff,nah dub je still buff,25
ham,"Painful words- \I thought being Happy was the most toughest thing on Earth... But the toughest is acting Happy with all unspoken pain inside..\""""",pain thought happi toughest thing earth toughest act happi unspoken pain,145
ham,"Yeah, that's fine! It's å£6 to get in, is that ok?",yeah fine get ok,50
ham,Lol where do u come up with these ideas?,lol come idea,40
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",mani peopl seem special first sight remain special till last maintain till life sh ja,156
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today dedic song dedic send ur valuabl frnd first rpli,124
ham,Okay... We wait ah,okay wait ah,18
ham,Y lei?,lei,6
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,hi babe like bed im sorri tonight realli wan na see tomorrow call love xxx,126
ham,Already am squatting is the new way of walking,alreadi squat new way walk,46
ham,Do you want bold 2 or bb torch,want bold bb torch,30
ham,Cramps stopped. Going back to sleep,cramp stop go back sleep,35
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,today vodafon number end last four digit select receiv award number match pleas call claim award,174
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,free top rington weekli week subpoli per,114
ham,Nan sonathaya soladha. Why boss?,nan sonathaya soladha boss,32
ham,Bring tat cd don forget,bring tat cd forget,23
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshin quiz wkli win top soni dvd player know countri algarv txt ansr sp tyron,126
ham,I don't know but I'm raping dudes at poker,know rape dude poker,42
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,weightloss girl friend make load money ebay someth give thank god,99
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,see messag leav congrat dear school wat ur plan,96
ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first?,ìï eatin later eatin wif fren lei ìï go home first,73
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,finish alreadi yar keep say mushi embarrass ok,72
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",sorri man stash ran dri last night ca pick sunday,76
ham,Hai priya are you right. What doctor said pa. Where are you.,hai priya right doctor said,60
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",free msg sorri servic order could deliv suffici credit pleas top receiv servic,148
ham,Ok...,ok,5
ham,Please ask mummy to call father,pleas ask mummi call father,31
ham,Can come my room but cannot come my house cos my house still messy... Haha...,come room come hous co hous still messi haha,77
ham,I have lost 10 kilos as of today!,lost kilo today,33
ham,Just taste fish curry :-P,tast fish curri,25
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,might accid tookplac somewher ghodbandar rd traffic move slove plz slip amp worri,126
ham,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?,yun wkg btw go nu sc ìï wana specialis wad,71
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,ye one woman man pleas tell like dislik bed,75
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,test earlier appreci call tomorrow,68
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",loverboy keep come queen hmmm ach speak miss despar,144
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,meet fren dun wan meet ah muz guy rite,59
ham,"(No promises on when though, haven't even gotten dinner yet)",promis though even gotten dinner yet,60
ham,I got your back! Do you have any dislikes in bed?,got back dislik bed,49
ham,o turns out i had stereo love on mi phone under the unknown album.,turn stereo love mi phone unknown album,66
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,hard live chat choos girl connect live call cheap chat uk biggest live servic vu,145
ham,Yeah I don't see why not,yeah see,24
ham,Asking do u knw them or nt? May be ur frnds or classmates?,ask knw nt may ur frnd classmat,58
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",sorri earlier put around talk actual life lol,107
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,wow boy back take uk tour win vip ticket vip club txt club trackmarqu ltd info,138
ham,"As in missionary hook up, doggy hook up, standing...|",missionari hook doggi hook stand,53
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,better go dun disturb wake msg,73
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",fight world easi either win lose bt fightng close dificult lose lose win still lose,149
ham,Am watching house ‰ÛÒ very entertaining ‰ÛÒ am getting the whole hugh laurie thing ‰ÛÒ even with the stick ‰ÛÒ indeed especially with the stick.,watch hous entertain get whole hugh lauri thing even stick inde especi stick,144
ham,Thought praps you meant another one. Goodo! I'll look tomorrow,thought prap meant anoth one goodo look tomorrow,62
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",hi jon pete ive bin spain recent hav sum dinero left bill said ur åôrent mayb interest hav around tb jame,159
ham,There bold 2 &lt;#&gt; . Is that yours,bold lt gt,38
ham,You know there is. I shall speak to you in &lt;#&gt; minutes then,know shall speak lt gt minut,65
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",hunni wot didnt end goin town ju da pub instead ju chillin da mo bedroom love jen,131
ham,I went to project centre,went project centr,24
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request alaipayuth set callertun caller press copi friend callertun,136
ham,Lol yeah at this point I guess not,lol yeah point guess,34
ham,Doing project w frens lor.,project fren lor,26
ham,Lol. Well quality aint bad at all so i aint complaining,lol well qualiti aint bad aint complain,55
ham,"K, can that happen tonight?",happen tonight,27
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",hi mandi sullivan call hotmix fm chosen receiv easter prize draw telephon claim prize transfer someon els,224
ham,"I think we're going to finn's now, come",think go finn come,39
ham,Why tired what special there you had,tire special,36
ham,I will come tomorrow di,come tomorrow di,23
ham,I cant pick the phone right now. Pls send a message,cant pick phone right pl send messag,51
ham,K go and sleep well. Take rest:-).,go sleep well take rest,34
ham,U guys never invite me anywhere :(,guy never invit anywher,34
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,ur go bahama callfreefon speak live oper claim either bahama cruis cash opt txt,159
ham,I can do that! I want to please you both inside and outside the bedroom...,want pleas insid outsid bedroom,74
ham,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",calm downon itxt co iwana know wotu doin haventcn ur neth,146
ham,I love to wine and dine my lady!,love wine dine ladi,32
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,someon conact date servic enter phone fanci find call landlin,155
ham,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",iåõm cool ta luv caus doin load plan wk got social servic inspect nurseri take care spk sn,160
